gid;nom_parc;n_parcel;id_zde;id_parc;id_mat;numero;x_pc;y_pc;etat_icpe;etat_mat;en_service;date_prod;date_demol;id_poste;id_au;ht_max;ht_mat;ht_nacelle;diam_rotor;precis_pos;sys_coord;srce_geom;alt_base;PU_NOMINAL;DATE_REAL;POSTSRCE;ETAT_AU;LEG_MAT;TYPE_EOL;NOM_COM;INSEE_COM;FUSION_COM;COMORIGINE;fid;ID_PC;ID_MAP;ID_S3IC;ID_EOL;MANDATAIRE;TYPE_ETAT;PUISSANCE;ALTITUDE_B;ALTITUDE_S;DEPT;EPSG;X;Y;etat_proce;etat_eolie;INSEE;STATUT;idMat;idParc;codeCom;libCom;codeDep;modele;hauteur;sourceGeom;Xlamb93;Ylamb93;gml_id;x_icpe;y_icpe;d_service;e_adm_mat;n_parc;n_commune;obs;xcoord;ycoord;i_mat_anc;i_parc_anc;i_pc_anc;c_mat_diff;n_mat_diff;departemen;communes;geo_point_;layer
1;Parc éolien d’apremont;010110000A0559;Null;61.13085;Null;E1;903647.37;6569866.72;Autorisé;Construite en service;OUI;2020-01-01;Null;Null;Null;184.38;138.38;0;92;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
2;Parc éolien d’apremont;010110000C0001;Null;61.13085;Null;E2;903479.59;6569409.54;Autorisé;Construite en service;OUI;2020-01-02;Null;Null;Null;184.38;138.38;0;92;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
3;Parc éolien d’apremont;010110000C0001;Null;61.13085;Null;E3;903385.6;6568935.75;Autorisé;Construite en service;OUI;2020-01-03;Null;Null;Null;184.38;138.38;0;92;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
4;Parc éolien d’apremont;010110000C0165;Null;61.13085;Null;E4;903302.57;6568458.86;Autorisé;Construite en service;OUI;2020-01-04;Null;Null;Null;184.38;138.38;0;92;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
5;Parc éolien d’apremont;010110000C0165;Null;61.13085;Null;E5;903256.49;6567979.66;Autorisé;Construite en service;OUI;2020-01-05;Null;Null;Null;184.38;138.38;0;92;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
6;Montagne ardéchoise Sud 3;07175000AM0034;Null;61.12664;Null;E1;775990.97;6397652.89;Autorisé;Construite en service;OUI;Null;Null;Null;Null;126;85;0;0;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
7;Montagne ardéchoise Sud 3;07175000AM0034;Null;61.12664;Null;E2;776237.4;6397765.67;Autorisé;Construite en service;OUI;Null;Null;Null;Null;126;85;0;0;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
8;Montagne ardéchoise Sud 3;07175000AM0034;Null;61.12664;Null;E3;776538.34;6397911.2;Autorisé;Construite en service;OUI;Null;Null;Null;Null;126;85;0;0;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
9;Parc éolien de la forêt de thivolet;262070000X0113;Null;61.12596;Null;E1;869277.98;6455429.7;Autorisé;Construite en service;OUI;Null;Null;Null;Null;150;95;0;110;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
10;Parc éolien de la forêt de thivolet;262070000X0113;Null;61.12596;Null;E2;869460.33;6455457.23;Autorisé;Construite en service;OUI;Null;Null;Null;Null;150;95;0;110;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
11;Parc éolien de la forêt de thivolet;262070000X0116;Null;61.12596;Null;E3;869650.23;6455484.81;Autorisé;Construite en service;OUI;Null;Null;Null;Null;150;95;0;110;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;0;0;Null;0;Null;Null;Null;Null;0;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;Null;Null;0.0;0.0;Null;Null;Null;0;Null;Null;Null;Null;eolien_auvergne_rhone_alpes
