Cours d'eau, Embouchure, Bassin, Longueur (km)
Loire,Océan Atlantique,Loire,1006
Seine,Manche,Seine,775
Rhône,Mer Méditerranée,Rhône,5453
Garonne,Océan Atlantique (estuaire de la Gironde),Garonne,5234
Marne,Seine,Seine,514
Meuse_(fleuve),Mer du Nord,Meuse,4865
Lot,Garonne,Garonne,485
Dordogne,Océan Atlantique (estuaire de la Gironde),Dordogne,483
Saône,Rhône,Rhône,473
Doubs,Saône,Rhône,4306
Allier,Loire,Loire,421
Charente,Océan Atlantique,Charente,381
Tarn,Garonne,Garonne,380
Vienne,Loire,Loire,372
Cher,Loire,Loire,365
Aisne,Oise,Seine,356
Oise,Seine,Seine,3277
Durance,Rhône,Rhône,323
Loir,Sarthe,Loire,319
Moselle,Rhin,Rhin,3148
Sarthe,Maine,Loire,314
Adour,Océan Atlantique,Adour,308
Yonne,Seine,Seine,292
Aveyron,Tarn,Garonne,291
Isère,Rhône,Rhône,286
Indre,Loire,Loire,280
Creuse,Vienne,Loire,263
Isle,Dordogne,Dordogne,255
Aube,Seine,Seine,249
Somme,Manche,Somme,245
Eure,Seine,Seine,229
Aude,Mer Méditerranée,Aude,224
Vilaine,Océan Atlantique (estuaire de la Vilaine),Vilaine,218
Ill,Rhin,Rhin,217
Ognon,Saône,Rhône,214
Vézère,Dordogne,Dordogne,211
Gartempe,Creuse,Loire,205
Mayenne,Maine,Loire,203
Armançon,Yonne,Seine,202
Dronne,Isle,Dordogne,201
Agout,Tarn,Garonne,194
Gave de Pau,Adour,Adour,191
Ain,Rhône,Rhône,190
Baïse,Garonne,Garonne,188
Rhin,Mer du Nord,Rhin,1889
Serein,Yonne,Seine,188
Sauldre,Cher,Loire,184
Gers,Garonne,Garonne,175
Orne,Manche,Orne,170
Viaur,Aveyron,Garonne,168
Truyère,Lot,Garonne,167
Verdon,Durance,Rhône,167
Huisne,Sarthe,Loire,165
Sioule,Allier,Loire,164
Ariège,Garonne,Garonne,163
Meurthe,Moselle,Rhin,161
Sèvre Niortaise,Océan Atlantique,Sèvre Niortaise,158
Luy (inc. Luy de France),Adour,Adour,154
Arnon,Cher,Loire,151
Midouze,Adour,Adour,151
Blavet,Océan Atlantique,Blavet,149
Gave d'Oloron,Gave de Pau,Adour,148
Hérault,Mer Méditerranée,Hérault,148
Oust,Vilaine,Vilaine,145
Risle,Seine,Seine,145
Aulne,Océan Atlantique,Aulne,144
Clain,Vienne,Loire,144
